Pistol Name,Barrel Length,Caliber,Magazine Capacity,Weight,Reliability,Recoil Level,Concealability,Price,Action Type,Sight Type,Military Use,Best Use Case
Glock 17,5.8,13,10,0.6,8.8,High,Average,525,Single Action,Laser Sight,No,Training
Colt M1911,5.2,13,20,0.89,9.3,Low,Average,944,Double Action,Laser Sight,Yes,Surgical Strike
Colt M1911,5.8,12,12,1.18,7.3,High,Good,1262,Semi-Automatic,Laser Sight,Yes,House-to-House Combat
Beretta M9,3.7,12,15,1.02,9.4,Low,Excellent,1465,Semi-Automatic,Optical,Yes,VIP Protection
Beretta M9,3.9,12,17,0.62,7.5,High,Good,1464,Double Action,Optical,Yes,Surgical Strike
FN Five-SeveN,4.1,9,15,1.15,7.3,Low,Excellent,1808,Double Action,Iron Sights,Yes,Surgical Strike
Smith & Wesson M&P9,3.8,13,10,0.62,8.5,Low,Excellent,510,Semi-Automatic,Iron Sights,No,Surveillance
Walther P99,5.6,13,12,0.94,9.2,Medium,Average,1605,Semi-Automatic,Iron Sights,No,Training
Ruger SR9,4.1,10,17,0.9,9.9,Low,Good,1157,Semi-Automatic,Night Vision,No,Self-Defense
Colt M1911,5.4,11,17,0.73,7.9,Low,Excellent,705,Double Action,Night Vision,No,Self-Defense
FN Five-SeveN,5.6,10,17,1.03,8.2,High,Poor,1535,Double Action,Iron Sights,Yes,Self-Defense
Heckler & Koch USP,5.0,9,20,1.0,7.8,Medium,Good,1563,Double Action,Iron Sights,No,House-to-House Combat
Sig Sauer P320,5.8,9,12,1.09,8.9,High,Poor,942,Double Action,Night Vision,Yes,Surveillance
Glock 17,5.1,10,15,0.67,9.3,Low,Poor,974,Single Action,Laser Sight,Yes,Surveillance
Ruger SR9,4.4,12,10,0.97,7.5,Medium,Good,822,Double Action,Laser Sight,Yes,Self-Defense
Sig Sauer P320,5.1,9,20,0.81,7.6,Medium,Poor,1855,Double Action,Iron Sights,No,House-to-House Combat
Colt M1911,4.7,12,12,1.1,7.8,Medium,Average,1081,Single Action,Laser Sight,Yes,Self-Defense
Beretta M9,5.8,11,10,1.05,8.5,High,Poor,1868,Single Action,Optical,No,Surgical Strike
Walther P99,4.4,9,15,0.68,10.0,Medium,Excellent,995,Single Action,Optical,Yes,Training
Glock 17,5.3,13,10,0.85,7.9,Low,Average,1881,Double Action,Optical,Yes,VIP Protection
Heckler & Koch USP,5.4,11,17,0.83,7.1,High,Poor,1483,Semi-Automatic,Night Vision,No,House-to-House Combat
Ruger SR9,4.4,12,10,0.67,9.6,Low,Average,1953,Double Action,Night Vision,No,Self-Defense
Walther P99,5.6,13,10,0.67,8.9,Medium,Average,1525,Single Action,Iron Sights,Yes,Self-Defense
Smith & Wesson M&P9,3.7,11,17,0.68,8.7,Low,Poor,1716,Single Action,Iron Sights,No,Surveillance
FN Five-SeveN,4.5,9,20,0.84,9.9,High,Good,1404,Double Action,Laser Sight,No,VIP Protection
Beretta M9,3.6,9,10,0.81,7.8,Medium,Average,843,Striker-Fired,Night Vision,Yes,House-to-House Combat
CZ P-10 C,5.9,12,17,0.87,7.7,High,Good,832,Double Action,Iron Sights,No,Surgical Strike
Colt M1911,4.4,13,10,0.78,7.2,High,Poor,750,Double Action,Optical,No,Surgical Strike
Heckler & Koch USP,5.7,11,17,0.83,7.2,High,Poor,1528,Striker-Fired,Laser Sight,Yes,VIP Protection
FN Five-SeveN,5.0,9,10,0.76,9.8,Low,Average,1647,Double Action,Night Vision,No,Surgical Strike
Colt M1911,5.7,11,12,1.14,8.6,High,Poor,699,Double Action,Iron Sights,Yes,Training
Colt M1911,4.2,10,15,1.17,7.2,High,Average,1410,Striker-Fired,Laser Sight,Yes,Training
